horse_num,oriental_1,oriental_2,oriental_3,oriental_sum,apple_1,apple_2,apple_3,apple_sum,pro_1,pro_2,pro_3,pro_sum,total_1,total_2,total_3,total_sum,w_h_odd,s_b_odd,result,file_name,sheet_name,W.H. FixOdd 60,S.B.Fix Odd 60
11,2,4,3,9,0,2,3,5,0,3,4,7,2,9,10,21,17,17,0.0,M2018-04-25D,Race(5),,
12,2,0,2,4,2,0,0,2,1,0,0,1,5,0,2,7,19,19,0.0,M2018-04-25D,Race(5),,
1,9,7,6,22,2,14,4,20,5,3,6,14,16,24,16,56,4.4,4.4,0.0,M2018-04-25D,Race(6),,
2,0,0,0,0,0,0,2,2,1,2,1,4,1,2,3,6,9,9,3.0,M2018-04-25D,Race(6),,
3,2,6,5,13,3,1,2,6,5,0,2,7,10,7,9,26,26,26,0.0,M2018-04-25D,Race(6),,
4,9,6,6,21,4,1,12,17,5,3,8,16,18,10,26,54,5.5,5.5,1.0,M2018-04-25D,Race(6),,
5,7,7,5,19,17,7,3,27,6,9,6,21,30,23,14,67,3,3,0.0,M2018-04-25D,Race(6),,
6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15,15,0.0,M2018-04-25D,Race(6),,
7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,M2018-04-25D,Race(6),,
8,0,4,4,8,2,4,5,11,1,1,2,4,3,9,11,23,13,13,0.0,M2018-04-25D,Race(6),,
9,3,0,4,7,0,3,1,4,0,5,0,5,3,8,5,16,10,10,0.0,M2018-04-25D,Race(6),,
10,0,0,0,0,2,0,0,2,2,1,0,3,4,1,0,5,21,21,0.0,M2018-04-25D,Race(6),,
11,0,0,0,0,0,0,1,1,0,1,0,1,0,1,1,2,26,26,2.0,M2018-04-25D,Race(6),,
12,0,0,0,0,0,0,0,0,1,1,1,3,1,1,1,3,13,13,0.0,M2018-04-25D,Race(6),,
1,15,8,0,23,16,8,3,27,11,9,0,20,42,25,3,70,3.2,3.2,1.0,M2018-04-25D,Race(7),,
2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,7,0.0,M2018-04-25D,Race(7),,
3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,41,41,0.0,M2018-04-25D,Race(7),,
4,0,0,0,0,0,0,0,0,0,1,1,2,0,1,1,2,14,14,0.0,M2018-04-25D,Race(7),,
5,2,0,0,2,1,0,0,1,0,0,0,0,3,0,0,3,8,8,0.0,M2018-04-25D,Race(7),,
6,0,0,0,0,0,0,0,0,1,0,0,1,1,0,0,1,34,35,0.0,M2018-04-25D,Race(7),,
